objID,RA_ICRS,DE_ICRS,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,pmRA,pmDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,spCl,subCl
1237680311773757571,20.778796,31.93748,1,6,1,0.001,0.001,17.612,15.846,15.158,14.916,14.778,0.012,0.004,0.004,0.004,0.005,-7.0E-5,1.0E-5,0,0.65,-4.54,,,,3,"SDSS J012306.91+315614.9","2041-53387-0559 ",55121.4316,"STAR  ","K1          "
1237680315522678891,20.659081,31.868228,1,6,0,0.086,0.09,25.641,23.543,21.81,20.384,19.555,1.156,0.349,0.138,0.055,0.109,-1.5E-4,9.0E-5,0,,,,,,3,"SDSS J012238.17+315205.6","7728-58138-0473 ",55121.4604,"STAR  ","M5III       "
1237680315522744903,20.728846,31.900666,1,6,1,0.095,0.083,26.648,23.073,21.742,20.709,20.0,0.454,0.228,0.132,0.071,0.164,-1.3E-4,6.0E-5,0,,,,,,3,"SDSS J012254.92+315402.3","7728-58138-0437 ",55121.4608,"STAR  ","M1          "
1237680315522679189,20.66137,31.919402,1,6,1,0.02,0.02,20.877,20.21,19.96,19.793,19.525,0.108,0.023,0.029,0.033,0.105,-1.7E-4,6.0E-5,0,5.93,3.26,,,,3,"SDSS J012238.72+315509.8","6596-56331-0628 ",55121.4604,"STAR  ","A5II        "
1237680315522744494,20.717364,31.936479,1,6,1,0.003,0.003,18.753,17.635,17.097,16.89,16.774,0.024,0.005,0.005,0.005,0.012,-0.00112,2.0E-5,0,-0.35,-7.65,,,,3,"SDSS J012252.16+315611.3","2041-53387-0554 ",55121.4608,"STAR  ","F2          "
1237680315522679052,20.632314,31.935229,1,6,1,0.005,0.005,20.966,19.015,18.189,17.819,17.623,0.118,0.01,0.009,0.008,0.022,1.0E-4,1.0E-5,0,2.8,-8.44,,,,3,"SDSS J012231.75+315606.8","2061-53711-0554 ",55121.4604,"STAR  ","K3          "
1237680311773692015,20.625549,31.970333,1,3,0,0.075,0.076,25.495,22.063,22.911,21.433,19.24,1.174,0.142,0.336,0.154,0.082,-3.2E-4,3.0E-5,0,,,,,0.6087,3,"SDSS J012230.13+315813.2","7728-58138-0579 ",55121.4312,"STAR  ","M1          "
1237680315522744400,20.753984,31.931113,1,6,1,0.001,0.001,18.393,16.677,15.96,15.679,15.523,0.02,0.004,0.004,0.004,0.006,-2.5E-4,1.0E-5,0,-0.78,-14.78,,,,3,"SDSS J012300.95+315552.0","2041-53387-0560 ",55121.4608,"STAR  ","K1          "
1237680311773757556,20.771744,31.972625,1,6,0,0.065,0.065,16.764,15.729,16.201,14.908,14.593,0.01,0.005,0.016,0.006,0.007,-9.0E-5,1.0E-5,0,7.97,3.13,,,,3,"SDSS J012305.21+315821.4","2041-53387-0549 ",55121.4316,"STAR  ","F9          "
1237666214077727788,20.804132,31.992307,1,6,1,0.057,0.064,25.848,23.647,21.942,20.781,19.994,0.411,0.24,0.09,0.054,0.091,-9.0E-5,7.0E-5,0,,,,,,3,"SDSS J012312.99+315932.3","7728-58138-0619 ",53263.4037,"STAR  ","M4.5:III    "
